"Reference","Value","Footprint","Qty","DNP","OC_MOUSER"
"C1,C2,C3","100n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","3","","187-CL21B104KBFNNNE"
"CON1","TROPIC01","ts_mikrobus:TROPIC01_mikrobus","1","","* 932-MIKROE-4247"
"D1","LED_G","LED_SMD:LED_0805_2012Metric","1","","710-150080GS75000"
"IC1","TROPIC01_chip","tropic01_chip:QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm","1","","*"
"J1","RPI socket","shields:RPI_Hat_B+","1","","474-PRT-16764"
"J2","CS select jumper switch","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","1",""," 653-XG8T-0641  + 653-XJ8A-0211"
"R1,R2","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2","","603-RC0805JR-071KL"
"R3","47k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","603-RC0805JR-0747KL"
